"rank","profile","name","url","state","revenue","growth","industry","workers","founded","yrs_on_list","previous_workers","metro","city"
78,"https://www.inc.com/profile/jennaration-boutique","Jennaration Boutique","jennarationboutique.com","AL",3.1,314.7663,"Retail",25,2013,2,15,NA,"Tuscaloosa"
79,"https://www.inc.com/profile/dkp-express","DKP Express","dkp-express.com","MN",2,314.4348,"Logistics & Transportation",10,2012,1,1,"Minneapolis","Crystal"
80,"https://www.inc.com/profile/flexfunds-etp","FlexFunds ETP","flexfunds.com","FL",5.9,314.2239,"Financial Services",50,2011,1,7,"Miami","Miami"
81,"https://www.inc.com/profile/waiakea","Waiakea","waiakeasprings.com","CA",6.7,313.8497,"Food & Beverage",26,2012,3,6,"Los Angeles","Culver City"
82,"https://www.inc.com/profile/custom-decks","Custom Decks","newcustomdecks.com","CO",3,312.4009,"Construction",25,1997,2,7,"Denver","Centennial"
83,"https://www.inc.com/profile/rent-ready","Rent Ready","http://rentready.com","NC",5,312.2632,"Real Estate",26,2013,1,5,"Charlotte","Charlotte"
84,"https://www.inc.com/profile/30-lines","30 Lines","30lines.com","OH",2.5,312.1878,"Advertising & Marketing",19,2008,1,11,"Columbus, OH","Columbus"
85,"https://www.inc.com/profile/magmod","MagMod","magnetmod.com","AZ",5.6,311.432,"Consumer Products & Services",22,2013,2,8,NA,"Tucson"
86,"https://www.inc.com/profile/the-idea-box---powered-by-proforma","The Idea Box - Powered by Proforma","sms-theideabox.com","FL",3.1,311.3495,"Business Products & Services",8,2013,2,2,"Miami","Ft. Lauderdale"
87,"https://www.inc.com/profile/sei-dallas","SEI-Dallas","sei.com/dallas-office","TX",3.1,311.3486,"Business Products & Services",12,2008,2,4,"Dallas","Dallas"
88,"https://www.inc.com/profile/under30experiences","Under30Experiences","under30experiences.com","TX",2.9,311.2953,"Travel & Hospitality",12,2012,2,2,"Austin","Austin"
89,"https://www.inc.com/profile/calyx","Calyx","calyxit.com","OH",3.3,311.0938,"IT Management",22,2004,1,6,"Cleveland","Westlake"
90,"https://www.inc.com/profile/the-jenny-maraghy-team","The Jenny Maraghy Team","jennymaraghyteam.com","VA",2.5,309.9722,"Real Estate",25,2011,1,5,"Richmond, VA","Richmond"
91,"https://www.inc.com/profile/proforma-think-ink","Proforma Think Ink","proforma.com/russ","FL",2.5,309.6931,"Business Products & Services",6,1993,1,4,"Tampa","Apollo Beach"
92,"https://www.inc.com/profile/waste-away-systems","Waste Away Systems","wasteawaysystems.com","OH",5.2,309.0144,"Logistics & Transportation",19,2012,2,9,"Columbus, OH","Heath"
